Date,KOSPI,SAMSUNG,HYUNDAI_CAR,KIA,KORMAR,NAVER,KAKAO,THE_HYUNDAI
2022-03-08,2622.4,69500,168000,69600,41650,304500,92100,75200
2022-03-07,2651.31,70100,168000,71100,43400,307000,91600,77500
2022-03-04,2713.43,71500,172500,73100,44800,317500,94700,78500
2022-03-03,2747.08,72900,177500,73800,45550,325500,96600,79000
2022-03-02,2703.52,71700,170500,72100,45850,317000,95300,78200
2022-02-28,2699.18,72100,175000,73800,46100,318000,94100,77800
2022-02-25,2676.76,71900,174000,73800,46300,314500,94400,76600
2022-02-24,2648.8,71500,173000,73400,45500,302500,90000,76500
2022-02-23,2719.53,73000,180500,78000,46700,309000,92600,77900
2022-02-22,2706.79,73400,181500,77700,46650,313000,91800,77500
2022-02-21,2743.8,74200,185000,78900,43900,318000,93200,77900
2022-02-18,2744.52,74300,183500,78700,42200,318000,91400,77200
2022-02-17,2744.09,75000,183500,79500,41450,324500,90600,77200
2022-02-16,2729.68,74800,182000,79500,39400,324500,91900,77500
2022-02-15,2676.54,73700,180500,77600,39150,318500,88300,75900
2022-02-14,2704.48,73700,176500,77000,38600,322000,88800,77100
2022-02-11,2747.71,74900,183000,79000,39350,327500,91700,76400
2022-02-10,2771.93,75400,185500,79700,39900,331500,87300,76700
2022-02-09,2768.85,74700,185000,80300,38950,326000,86100,76400
2022-02-08,2746.47,73500,184500,78900,38300,322000,86500,75000
2022-02-07,2745.06,73000,186500,78200,37550,327000,88000,74900
2022-02-04,2750.26,74000,190000,80700,37550,327500,87100,74700
2022-02-03,2707.82,73300,191500,81500,36550,320500,85100,72700
2022-01-28,2663.34,73300,189500,82000,34700,310000,85000,71500
2022-01-27,2614.49,71300,186500,79100,34150,303000,82600,68300
2022-01-26,2709.24,73300,190000,77700,36000,313000,86900,72100
2022-01-25,2720.39,74000,194500,76500,36000,322000,87600,71400
2022-01-24,2792.0,75100,197000,79000,37300,328500,90000,73300
2022-01-21,2834.29,75600,200000,80100,37800,333000,91800,74100
2022-01-20,2862.68,76500,202000,81200,37550,335000,92300,74000
2022-01-19,2842.28,76300,200500,81000,36850,332500,90400,73700
2022-01-18,2864.24,77000,202500,82200,37100,338000,92000,73800
2022-01-17,2890.1,77500,205000,82700,37800,343500,92900,73800
2022-01-14,2921.92,77300,209000,83800,38550,342000,93900,74000
2022-01-13,2962.09,77900,210000,84900,38950,348000,96700,74600
2022-01-12,2972.48,78900,211500,85100,38700,345500,97200,74200
2022-01-11,2927.38,78900,210500,84100,38000,335000,95000,73000
2022-01-10,2926.72,78000,209500,83800,38650,335000,96600,73000
2022-01-07,2954.89,78300,215000,86700,39300,338000,100000,74300
2022-01-06,2920.53,76900,214000,85600,38850,338500,100000,73600
2022-01-05,2953.97,77400,213500,85900,39050,355000,105500,73900
2022-01-04,2989.24,78700,210000,83500,40000,365500,111500,74800
2022-01-03,2988.77,78600,210500,82600,40200,376000,114500,74700
