Date,KOSDAQ,ECHOPRO_BM,HANA_METERIALS,SM_ENTER,JYP_ENTER,PERARLABYSS,SEOUL_SMC
2022-01-21,942.85,106884,55600,69200,44500,114000,15700
2022-01-20,958.7,112107,57800,69500,45400,112700,16500
2022-01-19,933.9,106416,56600,66300,44000,107500,16200
2022-01-18,943.94,107992,58100,67900,45050,109000,16350
2022-01-17,957.9,107204,58600,68400,44700,111900,16850
2022-01-14,971.39,106687,58500,68200,44400,113800,16650
2022-01-13,983.25,109175,57500,69000,45500,113900,16250
2022-01-12,991.33,109643,57500,67500,45900,118700,16600
2022-01-11,969.92,104592,58600,66000,45700,116000,16550
2022-01-10,980.38,107647,56600,63400,45250,116100,15650
2022-01-07,995.16,111072,57900,63700,45750,119400,15100
2022-01-06,980.3,111491,56600,61900,44850,116800,15000
2022-01-05,1009.62,114694,59100,66600,46950,125800,15000
2022-01-04,1031.66,117035,62500,70700,48050,130500,15300
2022-01-03,1037.83,118267,62500,73600,50700,134000,15600
